Arcanobacterium haemolyticum infection,"A. haemolyticum isolated from humans is susceptible to erythromycin (proposed as the first-line drug), clindamycin, gentamicin, and cephalosporins. The use of parenteral antimicrobial drugs must be limited to serious infections."
Argentine hemorrhagic fever,"The Candid #1 vaccine for AHF was created in 1985 by Argentine virologist Dr. Julio Barrera Oro. The vaccine was manufactured by the Salk Institute in the United States, and became available in Argentina in 1990. Candid #1 has been applied to adult high-risk population and is 95.5% effective."
Ascariasis,"Medications that are used to kill roundworms are called ascaricides. Those recommended by the World Health Organization for ascariasis are: albendazole, mebendazole, levamisole and pyrantel pamoate.Other effective agents include tribendimidine and nitazoxanide.Pyrantel pamoate may induce intestinal obstruction in a heavy worm load. Albendazole is contraindicated during pregnancy and children under two years of age. Thiabendazole may cause migration of the worm into the esophagus, so it is usually combined with piperazine. Piperazine is a flaccid paralyzing agent that blocks the response of ascaris muscle to acetylcholine, which immobilizes the worm. It prevents migration when treatment is accomplished with weak drugs such as thiabendazole. If used by itself, it causes the worm to be passed out in the feces, and may be used when worms have caused blockage of the intestine or the biliary duct. Corticosteroids can treat some of the symptoms, such as inflammation. In some cases with severe infestation the worms may cause bowel obstruction, requiring emergency surgery. The bowel obstruction may be due to all the worms or twisting of the bowel. During the surgery the worms may be manually removed."
Aspergillosis,"The current medical treatments for aggressive invasive Aspergillosis include voriconazole and liposomal amphotericin B in combination with surgical debridement. For the less aggressive allergic bronchopulmonary aspergillosis findings suggest the use of oral steroids for a prolonged period of time, preferably for 6每9 months in allergic aspergillosis of the lungs. Itraconazole is given with the steroids, as it is considered to have a ""steroid sparing"" effect, causing the steroids to be more effective, allowing a lower dose. Other drugs used, such as amphotericin B, caspofungin (in combination therapy only), flucytosine (in combination therapy only), or itraconazole, are used to treat this fungal infection. However, a growing proportion of infections are resistant to the triazoles. A. fumigatus, the most commonly infecting species, is intrinsically resistant to fluconazole."
Astrovirus infection,Inactivated vaccines are in use for certain strains of Chicken Astrovirus (CastV). There are no anti-viral treatment against infections but personal hygiene can reduce the incidence of the illness.
Babesiosis,"In mild-to-moderate babesiosis, the treatment of choice is a combination of atovaquone and azithromycin. This regimen is preferred to clindamycin and quinine because side effects are fewer. The standard course is 7 to 10 days, but this is extended to at least 6 weeks in people with relapsing disease. Even mild cases are recommended to be treated to decrease the chance of inadvertently transmitting the infection by donating blood. In life-threatening cases, exchange transfusion is performed. In this procedure, the infected red blood cells are removed and replaced with uninfected ones. Imizol is a drug used for treatment of babesiosis in dogs. Extracts of the poisonous, bulbous plant Boophone disticha are used in the folk medicine of South Africa to treat equine babesiosis. B. disticha is a member of the daffodil family Amaryllidaceae and has also been used in preparations employed as arrow poisons, hallucinogens, and in embalming. The plant is rich in alkaloids, some of which display an action similar to that of scopolamine."
Bacillus cereus infection,"Most emetic patients recover within six to 24 hours, but in some cases, the toxin can be fatal."
Bacterial pneumonia,"Antibiotics are the treatment of choice for bacterial pneumonia and ventilation (oxygen supplement) as supportive therapy. The antibiotic choice depends on the nature of the pneumonia, the microorganisms most commonly causing pneumonia in the geographical region, and the immune status and underlying health of the individual. In the United Kingdom, amoxicillin is used as first-line therapy in the vast majority of patients acquiring pneumonia in the community, sometimes with added clarithromycin. In North America, where the ""atypical"" forms of community-acquired pneumonia are becoming more common, clarithromycin, azithromycin, or fluoroquinolones as single therapy, have displaced the amoxicillin as first-line therapy. Local patterns of antibiotic-resistance should always be considered when initiating pharmacotherapy. In hospitalized individuals or those with immune deficiencies, local guidelines determine the selection of antibiotics."
Bacterial vaginosis,"Antibiotics: Treatment is typically with the antibiotics metronidazole or clindamycin. They can be either given by mouth or applied inside the vagina. About 10% to 15% of people; however, do not improve with the first course of antibiotics and recurrence rates of up to 80% have been documented. Recurrence rates are increased with sexual activity with the same pre-/posttreatment partner and inconsistent condom use although estrogen-containing contraceptives decrease recurrence. When clindamycin is given to pregnant women symptomatic with BV before 22 weeks of gestation the risk of pre-term birth before 37 weeks of gestation is lower. Other antibiotics that may work include macrolides, lincosamides, nitroimidazoles, and penicillins. Bacterial vaginosis is not considered a sexually transmitted infection, and treatment of a male sexual partner of a woman with bacterial vaginosis is not recommended."
Balantidiasis,"Balantidiasis can be treated with tetracycline, carbarsone, metronidazole, or diiodohydroxyquin."
Bartonellosis,Cat-scratch disease: Adults(Azithromycin + Rifampin); Retinitis:
Baylisascaris infection,"While worming can rid the intestine of adult Baylisascaris, no treatment has been shown to alleviate illness caused by migrating larvae. Despite lack of larvicidal effects, albendazole (20每40 mg/kg/d for 1每4 weeks) has been used to treat many cases."
BK virus infection,"The cornerstone of therapy is reduction in immunosuppression. A recent surge in BKVAN correlates with use of potent immunosuppressant drugs, such as tacrolimus and mycophenolate mofetil (MMF)."
Black piedra,Terbinafine has been used in the treatment.
Blastocystosis,"There is a lack of scientific study to support the efficacy of any particular treatment. An additional review published in 2009 made a similar conclusion, noting that because the diagnostics in use have been unreliable, it has been impossible to determine whether a drug has eradicated the infection, or just made the patient feel better. Historical reports, such as one from 1916, note difficulty associated with eradication of Blastocystis from patients, describing it as ""an infection that is hard to get rid of."""
Blastomycosis,"Itraconazole given orally is the treatment of choice for most forms of the disease. Ketoconazole may also be used. Cure rates are high, and the treatment over a period of months is usually well tolerated. Amphotericin B is considerably more toxic, and is usually reserved for immunocompromised patients who are critically ill and those with central nervous system disease. Patients who cannot tolerate deoxycholate formulation of Amphotericin B can be given lipid formulations. Fluconazole has excellent CNS penetration and is useful where there is CNS involvement after initial treatment with Amphotericin B."
Bolivian hemorrhagic fever,"Measures to reduce contact between the vesper mouse and humans may have contributed to limiting the number of outbreaks, with no cases identified between 1973 and 1994. Although there are no cures or vaccine for the disease, a vaccine developed for the genetically related Jun赤n virus which causes Argentine hemorrhagic fever has shown evidence of cross-reactivity to Machupo virus, and may therefore be an effective prophylactic measure for people at high risk of infection. Post infection (and providing that the person survives the infection), those that have contracted BHF are usually immune to further infection of the disease."
Botulism (and Infant botulism),"Botulism is generally treated with botulism antitoxin and supportive care. Supportive care for botulism includes monitoring of respiratory function. Respiratory failure due to paralysis may require mechanical ventilation for 2 to 8 weeks, plus intensive medical and nursing care. After this time, paralysis generally improves as new neuromuscular connections are formed. In some abnormal cases, physicians may try to remove contaminated food still in the digestive tract by inducing vomiting and/or using enemas. Wounds should be treated, usually surgically, to remove the source of the toxin-producing bacteria."
Brucellosis,"Antibiotics such as tetracyclines, rifampicin, and the aminoglycosides streptomycin and gentamicin are effective against Brucella bacteria. However, the use of more than one antibiotic is needed for several weeks, because the bacteria incubate within cells. The gold standard treatment for adults is daily intramuscular injections of streptomycin 1 g for 14 days and oral doxycycline 100 mg twice daily for 45 days (concurrently). Gentamicin 5 mg/kg by intramuscular injection once daily for seven days is an acceptable substitute when streptomycin is not available or contraindicated. Another widely used regimen is doxycycline plus rifampin twice daily for at least six weeks. This regimen has the advantage of oral administration. A triple therapy of doxycycline, with rifampin and co-trimoxazole, has been used successfully to treat neurobrucellosis. Doxycycline is able to cross the blood每brain barrier, but requires the addition of two other drugs to prevent relapse. Ciprofloxacin and co-trimoxazole therapy is associated with an unacceptably high rate of relapse. In brucellic endocarditis, surgery is required for an optimal outcome. Even with optimal antibrucellic therapy, relapses still occur in 5 to 10% of patients with Malta fever. The main way of preventing brucellosis is by using fastidious hygiene in producing raw milk products, or by pasteurizing all milk that is to be ingested by human beings, either in its unaltered form or as a derivate, such as cheese. Co-trimoxazole and rifampin are both safe drugs to use in treatment of pregnant women who have brucellosis."
Bubonic plague,"Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1每15%, compared to a mortality of 40每60% in untreated cases. People potentially infected with the plague need immediate treatment and should be given antibiotics within 24 hours of the first symptoms to prevent death. Other treatments include oxygen, intravenous fluids, and respiratory support. People who have had contact with anyone infected by pneumonic plague are given prophylactic antibiotics. Using the broad-based antibiotic streptomycin has proven to be dramatically successful against the bubonic plague within 12 hours of infection."
Buruli ulcer,If treated early antibiotics for eight weeks are effective in 80% of people. This often includes the medications rifampicin and streptomycin. Clarithromycin or moxifloxacin are sometimes used instead of streptomycin. Treatment may also include cutting out the ulcer. This may be a minor operation and very successful if undertaken early. Advanced disease may require prolonged treatment with extensive skin grafting. Surgical practice can be dangerous in the developing countries where the disease is common.
Calicivirus infection (Norovirus and Sapovirus),"Most calicivirus infections do not call for medical attention, but those who are immunocompromised may need to be hospitalized for rehydration therapy."
Campylobacteriosis,"The infection is usually self-limiting, and in most cases, symptomatic treatment by liquid and electrolyte replacement is enough in human infections."
Candidiasis (Moniliasis; Thrush),"Candidiasis is treated with antifungal medications; these include clotrimazole, nystatin, fluconazole, voriconazole, amphotericin B, and echinocandins. Intravenous fluconazole or an intravenous echinocandin such as caspofungin are commonly used to treat immunocompromised or critically ill individuals."
Carrion's disease,"Because Carrion's disease is often comorbid with Salmonella infections, Chloramphenicol has historically been the treatment of choice. The drug of choice during the acute phase is Quinolones (such as ciprofloxacin) or Chloramphenicol in adults and Chloramphenicol plus beta lactams in children. Chloramphenicol is typically coupled with penicillin. Chloramphenicol-resistant B. bacilliformis has been observed. During the eruptive phase, in which chloramphenicol is not useful, azithromycin, erythromycin, and ciprofloxacin have been used successfully for treatment[8]. Rifampin or macrolides are also used to treat both adults and children. Because of the high rates of comorbid infections and conditions, multiple treatments are often required. These often include the use of corticosteroids for respiratory distress, red blood cell tranfusions for anemia, pericardiectomies for pericardial tamponades, and other standard treatments."
Cat-scratch disease,"Most healthy people clear the infection without treatment, but in 5 to 14 percent of individuals, the organisms disseminate and infect the liver, spleen, eye, or central nervous system. Although some experts recommend not treating typical CSD in immunocompetent patients with mild to moderate illness, treatment of all patients with antimicrobial agents (Grade 2B) is suggested due to the probability of disseminated disease. The preferred antibiotic for treatment is azithromycin since this agent is the only one studied in a randomized controlled study. Azithromycin is preferentially used in pregnancy to avoid the teratogenic side effects of doxycycline. However, doxycycline is preferred to treat B. henselae infections with optic neuritis due to its ability to adequately penetrate the tissues of the eye and central nervous system."
Cellulitis,"Antibiotics are usually prescribed, with the agent selected based on suspected organism and presence or absence of purulence, although the best treatment choice is unclear. If an abscess is also present surgical drainage is usually indicated, with antibiotics often prescribed for co-existent cellulitis, especially if extensive. Pain relief is also often prescribed, but excessive pain should always be investigated as it is a symptom of necrotizing fasciitis. Elevation of the affected area is often recommended."
Cellulitis,"Antibiotics are usually prescribed, with the agent selected based on suspected organism and presence or absence of purulence, although the best treatment choice is unclear. If an abscess is also present surgical drainage is usually indicated, with antibiotics often prescribed for co-existent cellulitis, especially if extensive. Pain relief is also often prescribed, but excessive pain should always be investigated as it is a symptom of necrotizing fasciitis. Elevation of the affected area is often recommended."
Chagas Disease (American trypanosomiasis),"There are two approaches to treating Chagas disease: antiparasitic treatment, to kill the parasite; and symptomatic treatment, to manage the symptoms and signs of the infection. Management uniquely involves addressing selective incremental failure of the parasympathetic nervous system. Autonomic disease imparted by Chagas may eventually result in megaesophagus, megacolon and accelerated dilated cardiomyopathy. The mechanisms that explain why Chagas targets the parasympathetic autonomic nervous system and spares the sympathetic autonomic nervous system remain poorly understood. Antiparasitic treatment is most effective early in the course of infection, but is not limited to cases in the acute phase. Drugs of choice include azole or nitro derivatives, such as benznidazole[37] or nifurtimox. Both agents are limited in their capacity to completely eliminate T. cruzi from the body (parasitologic cure), especially in chronically infected patients, and resistance to these drugs has been reported."
Chancroid,"The CDC recommendation for chancroid is a single oral dose (1 gram) of azithromycin, or a single IM dose of ceftriaxone, or oral erythromycin for seven days. H. ducreyi is resistant to sulfonamides, tetracyclines, penicillins, chloramphenicol, ciprofloxacin, ofloxacin, trimethoprim and aminoglycosides. Recently, several erythromycin resistant isolates have been reported. Treatment failure is possible with HIV co-infection and extended therapy is sometimes required."
Chickenpox,"Treatment mainly consists of easing the symptoms. As a protective measure, people are usually required to stay at home while they are infectious to avoid spreading the disease to others. Cutting the nails short or wearing gloves may prevent scratching and minimize the risk of secondary infections. Paracetamol (acetaminophen) but not aspirin may be used to reduce fever. Aspirin use by someone with chickenpox may cause the serious, sometimes fatal disease of the liver and brain, Reye syndrome. People at risk of developing severe complications who have had significant exposure to the virus may be given intra-muscular varicella zoster immune globulin (VZIG), a preparation containing high titres of antibodies to varicella zoster virus, to ward off the disease. Antivirals are sometimes used. Although there have been no formal clinical studies evaluating the effectiveness of topical application of calamine lotion (a topical barrier preparation containing zinc oxide, and one of the most commonly used interventions), it has an excellent safety profile. It is important to maintain good hygiene and daily cleaning of skin with warm water to avoid secondary bacterial infection. Scratching may also increase the risk of secondary infection."
Chikungunya,"Currently, no specific treatment for chikungunya is available. Supportive care is recommended, and symptomatic treatment of fever and joint swelling includes the use of nonsteroidal anti-inflammatory drugs such as naproxen, non-aspirin analgesics such as paracetamol (acetaminophen) and fluids. Aspirin is not recommended due to the increased risk of bleeding. Despite anti-inflammatory effects, corticosteroids are not recommended during the acute phase of disease, as they may cause immunosuppression and worsen infection. Passive immunotherapy has potential benefit in treatment of chikungunya. Studies in animals using passive immunotherapy have been effective, and clinical studies using passive immunotherapy in those particularly vulnerable to severe infection are currently in progress. Passive immunotherapy involves administration of anti-CHIKV hyperimmune human intravenous antibodies (immunoglobulins) to those exposed to a high risk of chikungunya infection. No antiviral treatment for chikungunya virus is currently available, though testing has shown several medications to be effective in vitro."
Chlamydia,"C. trachomatis infection can be effectively cured with antibiotics. Guidelines recommend azithromycin, doxycycline, erythromycin, levofloxacin or ofloxacin. Agents recommended during pregnancy include erythromycin or amoxicillin. An option for treating sexual partners of those with chlamydia or gonorrhea include patient-delivered partner therapy (PDT or PDPT), which is the practice of treating the sex partners of index cases by providing prescriptions or medications to the patient to take to his/her partner without the health care provider first examining the partner. Following treatment people should be tested again after three months to check for re infection."
Cholera,"Antibiotic treatments for one to three days shorten the course of the disease and reduce the severity of the symptoms. Use of antibiotics also reduces fluid requirements. People will recover without them, however, if sufficient hydration is maintained. The World Health Organization only recommends antibiotics in those with severe dehydration. Doxycycline is typically used first line, although some strains of V. cholerae have shown resistance. Testing for resistance during an outbreak can help determine appropriate future choices. Other antibiotics proven to be effective include cotrimoxazole, erythromycin, tetracycline, chloramphenicol, and furazolidone. Fluoroquinolones, such as ciprofloxacin, also may be used, but resistance has been reported. Antibiotics improve outcomes in those who are both severely and not severely dehydrated. Azithromycin and tetracycline may work better than doxycycline or ciprofloxacin."
Chromoblastomycosis,"Chromoblastomycosis is very difficult to cure. The primary treatments of choice are: Itraconazole, an antifungal azole, is given orally, with or without flucytosine. Alternatively, cryosurgery with liquid nitrogen has also been shown to be effective. Other treatment options are the antifungal drug terbinafine, an experimental drug posaconazole, and heat therapy. Antibiotics may be used to treat bacterial superinfections. Amphotericin B has also been used."
Chytridiomycosis,"Treatment options for chytridiomycosis include antifungal drugs and heat-induced therapy. The antifungal drug itraconazole is the most popular form of treatment. Individuals infected with B. dendrobatidis are bathed in intraconazole solutions, and within a few weeks, previously infected individuals test negative for B. dendrobatidis using PCR assays. Heat therapy is also used to neutralize B. dendrobatidis in infected individuals. Temperature-controlled laboratory experiments are used to increase the temperature of an individual past the optimal temperature range of B. dendrobatidis. Experiments, where the temperature is increased beyond the upper bound of the B. dendrobatidis optimal range of 25 to 30 ～C, show its presence will dissipate within a few weeks and individuals infected return to normal. Formalin/malachite green has also been used to successfully treat individuals infected with chytridiomycosis. An Archey's frog was successfully cured of chytridiomycosis by applying chloramphenicol topically. However, the potential risks of using antifungal drugs on individuals are high."
Clostridium difficile colitis,"A number of different antibiotics are used for C. difficile, with the available agents being more or less equally effective. Metronidazole typically is the initial drug of choice for mild to moderate disease, because of lower price.[36] Typically it is taken three times a day for 10 days. Oral vancomycin is preferred for severe disease. Additionally, vancomycin may be used to treat mild-to-moderate disease if diarrhea persists after a course of metronidazole. Since metronidazole has the potential to cause birth defects, pregnant women with Clostridium difficile infection may be treated with vancomycin regardless of disease severity. Vancomycin and metronidazole, however, appear to be equally effective. Typical vancomycin dosage is taken four times daily for 10 days. Vancomyin may be given rectally if the person develops an ileus and cannot take medications by mouth. Fidaxomicin has been found to be as effective as vancomycin in those with mild to moderate disease. It is tolerated as well as vancomycin, and may have a lower risk of recurrence. It may be used in those who have recurrent infections and have not responded to other antibiotics. Drugs used to slow or stop diarrhea such as loperamide may worsen C. difficile disease, so are not recommended. Cholestyramine, an ion exchange resin, is effective in binding both toxin A and B, slowing bowel motility, and helping prevent dehydration. Cholestyramine is recommended with vancomycin. A last-resort treatment in those who are immunosuppressed is intravenous immunoglobulin (IVIG)."
Coccidioidomycosis,"Significant disease develops in fewer than 5% of those infected and typically occurs in those with a weakened immune system. Mild asymptomatic cases often do not require any treatment, and the symptoms will go away within a few months. Those with severe symptoms may benefit from anti-fungal therapy, which usually requires 3每6 months of treatment. There is a lack of prospective studies that examine optimal anti-fungal therapy for coccidioidomycosis. On the whole, oral fluconazole and intravenous amphotericin B are used in progressive or disseminated disease, or in immunocompromised individuals. Amphotericin B used to be the only available treatment, although now there are alternatives, including itraconazole or ketoconazole may be used for milder disease. Fluconazole is the preferred medication for coccidioidal meningitis, due to its penetration into CSF. Intrathecal or intraventricular amphotericin B therapy is used if infection persists after fluconazole treatment. Itraconazole is used for cases that involve treatment of infected person's bones and joints. The antifungal medications posaconazole and voriconazole have also been used to treat coccidioidomycosis. Because the symptoms of valley fever are similar to the common flu and other respiratory diseases, it is important for public health professionals to be aware of the rise of valley fever and the specifics of diagnosis. Greyhound dogs often get valley fever as well, and their treatment regimen involves 6每12 months of Ketoconazole, to be taken with food."
Coccidioidomycosis,"Significant disease develops in fewer than 5% of those infected and typically occurs in those with a weakened immune system. Mild asymptomatic cases often do not require any treatment, and the symptoms will go away within a few months. Those with severe symptoms may benefit from anti-fungal therapy, which usually requires 3每6 months of treatment. There is a lack of prospective studies that examine optimal anti-fungal therapy for coccidioidomycosis. On the whole, oral fluconazole and intravenous amphotericin B are used in progressive or disseminated disease, or in immunocompromised individuals. Amphotericin B used to be the only available treatment, although now there are alternatives, including itraconazole or ketoconazole may be used for milder disease. Fluconazole is the preferred medication for coccidioidal meningitis, due to its penetration into CSF. Intrathecal or intraventricular amphotericin B therapy is used if infection persists after fluconazole treatment. Itraconazole is used for cases that involve treatment of infected person's bones and joints. The antifungal medications posaconazole and voriconazole have also been used to treat coccidioidomycosis. Because the symptoms of valley fever are similar to the common flu and other respiratory diseases, it is important for public health professionals to be aware of the rise of valley fever and the specifics of diagnosis. Greyhound dogs often get valley fever as well, and their treatment regimen involves 6每12 months of Ketoconazole, to be taken with food."
Colorado tick fever (CTF),"No specific treatment for CTF is yet available. The first action is make sure the tick is fully removed from the skin, then acetaminophen and analgesics can be used to help relieve the fever and pain. Aspirin is not recommended for children, as it has been linked to Reye＊s syndrome in some viral illnesses. Salicylates should not be used because of thrombocytopenia, and the rare occurrence of bleeding disorders. People who suspect they have been bitten by a tick or are starting to show signs of CTF should contact their physicians immediately."
Common cold (Acute viral rhinopharyngitis; Acute coryza),"Antibiotics have no effect against viral infections or against the viruses that cause the common cold. Due to their side effects, antibiotics cause overall harm but are still frequently prescribed. Some of the reasons that antibiotics are so commonly prescribed include people's expectations for them, physicians' desire to help, and the difficulty in excluding complications that may be amenable to antibiotics. There are no effective antiviral drugs for the common cold even though some preliminary research has shown benefits."
Common cold (Acute viral rhinopharyngitis; Acute coryza),"Antibiotics have no effect against viral infections or against the viruses that cause the common cold. Due to their side effects, antibiotics cause overall harm but are still frequently prescribed. Some of the reasons that antibiotics are so commonly prescribed include people's expectations for them, physicians' desire to help, and the difficulty in excluding complications that may be amenable to antibiotics. There are no effective antiviral drugs for the common cold even though some preliminary research has shown benefits."
Creutzfeldt每Jakob disease (CJD),"As of 2016, no generally accepted treatment for CJD exists; the disease is invariably fatal and research continues. An experimental treatment was given to a Northern Irish teenager, Jonathan Simms, beginning in January 2003. The medication, called pentosan polysulphate (PPS) and used to treat interstitial cystitis, is infused into the patient's lateral ventricle within the brain. PPS does not seem to stop the disease from progressing, and both brain function and tissue continue to be lost. However, the treatment is alleged to slow the progression of the otherwise untreatable disease, and may have contributed to the longer than expected survival of the seven patients studied. Simms died in 2011. The CJD Therapy Advisory Group to the UK Health Departments advises that data are not sufficient to support claims that pentosan polysulphate is an effective treatment and suggests that further research in animal models is appropriate. A 2007 review of the treatment of 26 patients with PPS finds no proof of efficacy because of the lack of accepted objective criteria."
Crimean-Congo hemorrhagic fever (CCHF),"Treatment is primarily symptomatic and supportive, as there is no established specific treatment. Ribavirin is effective in vitro and has been used during outbreaks, but there is no trial evidence to support its use. A Turkish research team led by Refik Saydam Health Institute has developed treatment-serum derived from blood of several CCHF-patients, which have been proven to be 90% effective in CCHF-patients."
Cryptococcosis,"Treatment options in persons without HIV-infection have not been well studied. Intravenous Amphotericin B combined with flucytosine by mouth is recommended. Persons living with AIDS often have a greater burden of disease and higher mortality (30-70% at 10-weeks), but recommended therapy is with amphotericin B and flucytosine. Where flucytosine is not available (many low and middle income countries), fluconazole should be used with amphotericin. Amphotericin-based induction therapy has much greater microbiologic activity than fluconazole monotherapy with 30% better survival at 10-weeks. Based on a systematic review of existing data, the most cost-effective induction treatment in resource-limited settings appears to be one week of amphotericin B coupled with high-dose fluconazole. After initial induction treatment as above, typical consolidation therapy is with oral fluconazole for at least 8 weeks used with secondary prophylaxis with fluconazole thereafter."
Cryptosporidiosis,"Symptomatic treatment primarily involves fluid rehydration, electrolyte replacement (sodium, potassium, bicarbonate, and glucose), and antimotility agents (e.g., loperamide).Supplemental zinc may improve symptoms, particularly in recurrent or persistent infections or in others at risk for zinc deficiency."
Cutaneous larva migrans (CLM),"CLM can be treated in a number of different ways: 1) Systemic (oral) agents include albendazole (trade name Albenza) and ivermectin (trade name Stromectol)). 2) Another agent which can be applied either topically or taken by mouth is thiabendazole (trade name Mintezol)), an anti-helminthic. 3) Topical freezing agents, such as ethylene chloride or liquid nitrogen, applied locally can freeze and kill the larvae, but this method has a high failure rate because the larvae are usually located away from the site of the visible skin trails. Additionally, this is a painful method which can cause blistering and/or ulceration of the skin and it is therefore not recommended. 4) It is recommended to use Benadryl or some anti-itch cream (i.e. Cortizone or Calamine lotion). This will help relieve some of the itch. 5) Wearing shoes in areas where these parasites are known to be endemic offers protection from infection. In general, avoiding exposure of skin to contaminated soil or sand offers the best protection. In some areas dogs have been banned from beaches in an attempt to control human infection."
Cutaneous larva migrans (CLM),"CLM can be treated in a number of different ways: 1) Systemic (oral) agents include albendazole (trade name Albenza) and ivermectin (trade name Stromectol)). 2) Another agent which can be applied either topically or taken by mouth is thiabendazole (trade name Mintezol)), an anti-helminthic. 3) Topical freezing agents, such as ethylene chloride or liquid nitrogen, applied locally can freeze and kill the larvae, but this method has a high failure rate because the larvae are usually located away from the site of the visible skin trails. Additionally, this is a painful method which can cause blistering and/or ulceration of the skin and it is therefore not recommended. 4) It is recommended to use Benadryl or some anti-itch cream (i.e. Cortizone or Calamine lotion). This will help relieve some of the itch. 5) Wearing shoes in areas where these parasites are known to be endemic offers protection from infection. In general, avoiding exposure of skin to contaminated soil or sand offers the best protection. In some areas dogs have been banned from beaches in an attempt to control human infection."
Cysticercosis,"1) Neurocysticercosis: Asymptomatic cysts, such as those discovered incidentally on neuroimaging done for another reason, may never lead to symptomatic disease and in many cases do not require therapy. Calcified cysts have already died and involuted. Further antiparasitic therapy will be of no benefit. 2) Eyes: surgical removal is necessary for cysts within the eye itself as treating intraocular lesions with anthelmintics will elicit an inflammatory reaction causing irreversible damage to structural components. Cysts outside the globe can be treated with anthelmintics and steroids. Treatment recommendations for subcutaneous cysticercosis includes surgery, praziquantel and albendazole. 3) Skin: subcutaneous disease does not need specific therapy. Painful or bothersome cysts can be surgically removed."
